iter,ns,epot,ekin,etot,T,t
10,9.999999999999999e-06,[-2510.646417617798],[321.24658203],[-2189.39983559],[156.64596292],0.36620402336120605
20,1.9999999999999998e-05,[-2425.5470159053802],[257.43920898],[-2168.10780692],[125.53227035],0.7062935829162598
30,3e-05,[-2552.1248564869165],[362.70471191],[-2189.42014457],[176.86173809],0.9501693248748779
40,3.9999999999999996e-05,[-2551.7728264033794],[344.62142944],[-2207.15139696],[168.04398452],1.2867200374603271
50,4.9999999999999996e-05,[-2461.92991566658],[273.48178101],[-2188.44813466],[133.35493457],1.5618598461151123
60,6e-05,[-2448.9364312291145],[279.33035278],[-2169.60607845],[136.20680976],1.8299567699432373
70,7e-05,[-2492.1952884197235],[308.4727478],[-2183.72254062],[150.41719762],2.0905723571777344
80,7.999999999999999e-05,[-2549.2949371635914],[347.9342041],[-2201.36073306],[169.65935665],2.3299567699432373
90,9e-05,[-2484.745674610138],[299.37493896],[-2185.37073565],[145.98093244],2.6050209999084473
100,9.999999999999999e-05,[-2412.427950978279],[245.02670288],[-2167.4012481],[119.47969554],2.8373007774353027
110,0.00010999999999999999,[-2477.3915750980377],[297.64135742],[-2179.75021768],[145.135605],3.063558340072632
120,0.00012,[-2521.992882490158],[325.73348999],[-2196.2593925],[158.83386485],3.2903025150299072
130,0.00013,[-2462.6653620302677],[277.39715576],[-2185.26820627],[135.26414601],3.514972686767578
140,0.00014,[-2438.8045134991407],[269.12741089],[-2169.67710261],[131.23166062],3.7912113666534424
150,0.00015,[-2470.5318982303143],[293.1663208],[-2177.36557743],[142.95349176],4.026149749755859
160,0.00015999999999999999,[-2511.0295628011227],[319.94195557],[-2191.08760723],[156.00980216],4.250783681869507
170,0.00017,[-2490.539943218231],[305.62799072],[-2184.9119525],[149.03003979],4.475823163986206
180,0.00018,[-2449.5390677452087],[278.21984863],[-2171.31921911],[135.66530675],4.70490288734436
190,0.00018999999999999998,[-2473.580042988062],[300.98669434],[-2172.59334865],[146.76685511],4.929229259490967
200,0.00019999999999999998,[-2516.2673636972904],[331.15014648],[-2185.11721721],[161.47512991],5.162588357925415
210,0.00020999999999999998,[-2500.0669342279434],[317.45501709],[-2182.61191714],[154.79712351],5.389224052429199
220,0.00021999999999999998,[-2470.2354398071766],[299.2935791],[-2170.94186071],[145.94125982],5.6242218017578125
230,0.00023,[-2473.5392612218857],[302.51519775],[-2171.02406347],[147.51218255],5.861032009124756
240,0.00024,[-2499.5258575081825],[319.7835083],[-2179.74234921],[155.93254025],6.084093809127808
250,0.00025,[-2496.583085373044],[316.42904663],[-2180.15403874],[154.29684074],6.316572189331055
260,0.00026,[-2481.142443060875],[309.99804688],[-2171.14439619],[151.16096255],6.5447492599487305
270,0.00027,[-2473.281312137842],[304.57446289],[-2168.70684925],[148.51631952],6.771165370941162
280,0.00028,[-2488.0182621479034],[313.49377441],[-2174.52448773],[152.865546],7.014587163925171
290,0.00029,[-2506.565968990326],[328.11987305],[-2178.44609594],[159.99751077],7.2609639167785645
300,0.0003,[-2477.7685158252716],[308.17028809],[-2169.59822774],[150.26971249],7.563963413238525
310,0.00031,[-2473.0234420895576],[305.6199646],[-2167.40347749],[149.0261261],7.805843114852905
320,0.00031999999999999997,[-2485.422161757946],[314.65405273],[-2170.76810902],[153.43131985],8.037801742553711
330,0.00032999999999999994,[-2484.0012768507004],[309.84799194],[-2174.15328491],[151.08779291],8.274269104003906
340,0.00034,[-2487.700259923935],[316.13232422],[-2171.56793571],[154.15215323],8.503886461257935
350,0.00034999999999999994,[-2479.3748391866684],[310.56030273],[-2168.81453645],[151.43512924],8.744114398956299
360,0.00036,[-2485.302935041487],[314.91339111],[-2170.38954393],[153.55777819],8.974140644073486
370,0.00037,[-2503.033774793148],[328.45565796],[-2174.57811683],[160.1612459],9.2057044506073
380,0.00037999999999999997,[-2501.0121663808823],[328.17327881],[-2172.83888757],[160.02355243],9.435070276260376
390,0.00039,[-2485.5792883485556],[317.58953857],[-2167.98974977],[154.86271875],9.663517475128174
400,0.00039999999999999996,[-2483.7055472135544],[318.54632568],[-2165.15922153],[155.3292664],9.896129131317139
410,0.00041,[-2490.1813340187073],[323.35583496],[-2166.82549906],[157.6744749],10.126070737838745
420,0.00041999999999999996,[-2480.099009037018],[314.68792725],[-2165.41108179],[153.44783771],10.36481761932373
430,0.00042999999999999994,[-2488.6229101121426],[324.21722412],[-2164.40568599],[158.09450469],10.629770517349243
440,0.00043999999999999996,[-2476.234335131943],[314.16174316],[-2162.07259197],[153.19126031],10.892833232879639
450,0.00045,[-2463.761316359043],[303.48855591],[-2160.27276045],[147.98681055],11.156644582748413
460,0.00046,[-2478.1655876636505],[314.67391968],[-2163.49166799],[153.44100735],11.407201528549194
470,0.00047,[-2498.8033043444157],[334.23760986],[-2164.56569448],[162.98063597],11.669279098510742
480,0.00048,[-2467.8049350976944],[309.30776978],[-2158.49716532],[150.82437027],11.908677816390991
490,0.00049,[-2474.178441911936],[318.62811279],[-2155.55032912],[155.36914736],12.138423919677734
500,0.0005,[-2484.2463438510895],[325.4510498],[-2158.79529405],[158.69614163],12.381294250488281
510,0.00051,[-2491.51017254591],[330.01623535],[-2161.49393719],[160.92221321],12.608034133911133
520,0.00052,[-2474.8550219535828],[317.61233521],[-2157.24268675],[154.87383483],12.845534324645996
530,0.00053,[-2471.8874014616013],[319.68966675],[-2152.19773471],[155.88678132],13.08518099784851
540,0.00054,[-2478.8428246974945],[321.68756104],[-2157.15526366],[156.8609927],13.317861318588257
550,0.0005499999999999999,[-2494.8392170742154],[334.02139282],[-2160.81782425],[162.87520441],13.55195164680481
560,0.00056,[-2478.941075026989],[322.65789795],[-2156.28317708],[157.33414749],13.780461072921753
570,0.00057,[-2468.6756863594055],[317.22824097],[-2151.44744539],[154.68654315],14.009946346282959
580,0.00058,[-2474.1020970344543],[320.49761963],[-2153.60447741],[156.28075456],14.248526573181152
590,0.00059,[-2494.1454693078995],[337.67236328],[-2156.47310603],[164.65548727],14.50811219215393
600,0.0006,[-2479.6218495965004],[326.8470459],[-2152.7748037],[159.37685596],14.778006076812744
610,0.00061,[-2462.964119911194],[315.58447266],[-2147.37964725],[153.88501036],15.036465406417847
620,0.00062,[-2472.1016558408737],[324.12640381],[-2147.97525203],[158.05021897],15.354336738586426
630,0.00063,[-2481.713553197682],[330.07940674],[-2151.63414646],[160.95301678],15.61632490158081
640,0.0006399999999999999,[-2484.5161941051483],[334.97320557],[-2149.54298854],[163.33932647],15.871465921401978
650,0.00065,[-2462.7408964037895],[317.94082642],[-2144.80006999],[155.03401341],16.10165572166443
660,0.0006599999999999999,[-2472.091863632202],[326.82962036],[-2145.26224327],[159.36835894],16.3745756149292
670,0.00067,[-2493.5924928188324],[342.58380127],[-2151.00869155],[167.05039815],16.610329389572144
680,0.00068,[-2490.577788770199],[340.80523682],[-2149.77255195],[166.18313618],16.848384618759155
690,0.00069,[-2477.779853478074],[333.95584106],[-2143.82401241],[162.84324012],17.081895112991333
700,0.0006999999999999999,[-2469.4052393734455],[326.80249023],[-2142.60274914],[159.35512977],17.315385818481445
710,0.0007099999999999999,[-2487.88780824095],[340.25845337],[-2147.62935487],[165.91651414],17.547054290771484
720,0.00072,[-2483.3734817504883],[335.97851562],[-2147.39496613],[163.82953483],17.78197932243347
730,0.00073,[-2475.732815504074],[333.80944824],[-2141.92336726],[162.77185619],18.01404571533203
740,0.00074,[-2476.252788901329],[336.34848022],[-2139.90430868],[164.00993663],18.253831386566162
750,0.0007499999999999999,[-2479.7622699588537],[335.71572876],[-2144.0465412],[163.70139494],18.506194591522217
760,0.0007599999999999999,[-2474.9348908662796],[330.80487061],[-2144.13002026],[161.30676681],18.755311965942383
770,0.0007700000000000001,[-2472.1107119470835],[332.22045898],[-2139.89025296],[161.99703471],19.013249397277832
780,0.00078,[-2465.8798373937607],[325.82556152],[-2140.05427587],[158.87876069],19.265021800994873
790,0.0007899999999999999,[-2477.0211216807365],[334.54559326],[-2142.47552842],[163.13081455],19.52059507369995
800,0.0007999999999999999,[-2477.793117761612],[333.72033691],[-2144.07278085],[162.72840381],19.78105092048645
810,0.00081,[-2472.616166174412],[331.87469482],[-2140.74147135],[161.82843351],20.04093861579895
820,0.00082,[-2471.010213136673],[332.71316528],[-2138.29704785],[162.2372877],20.30740976333618
830,0.00083,[-2464.2294859588146],[325.40567017],[-2138.82381579],[158.67401365],20.669806718826294
840,0.0008399999999999999,[-2477.837305814028],[338.38272095],[-2139.45458487],[165.00187122],20.96568202972412
850,0.00085,[-2480.3585798740387],[344.31433105],[-2136.04424882],[167.89423749],21.29048728942871
860,0.0008599999999999999,[-2463.701175004244],[329.15585327],[-2134.54532173],[160.50267449],21.652170181274414
870,0.00087,[-2466.4500603675842],[331.89978027],[-2134.55028009],[161.84066565],21.961533546447754
880,0.0008799999999999999,[-2477.0881972014904],[342.24890137],[-2134.83929583],[166.88709456],22.261821269989014
890,0.00089,[-2474.398026019335],[341.07546997],[-2133.32255605],[166.31490702],22.562570571899414
900,0.0009,[-2472.7325803637505],[343.1723938],[-2129.56018656],[167.33740709],22.83093571662903
910,0.0009099999999999999,[-2474.7647770643234],[345.73406982],[-2129.03070724],[168.5865292],23.12739372253418
920,0.00092,[-2471.829085826874],[340.88751221],[-2130.94157362],[166.22325523],23.440070867538452
930,0.0009299999999999999,[-2472.851375222206],[343.9677124],[-2128.88366282],[167.72521962],23.721575498580933
940,0.00094,[-2475.689994007349],[347.46002197],[-2128.22997203],[169.4281364],24.043736219406128
950,0.0009499999999999999,[-2466.962492018938],[339.63369751],[-2127.32879451],[165.61187126],24.394392013549805
960,0.00096,[-2470.5766931176186],[341.40673828],[-2129.16995484],[166.47643977],24.65807843208313
970,0.0009699999999999999,[-2481.041062835604],[353.46401978],[-2127.57704306],[172.35580029],24.91391897201538
980,0.00098,[-2466.0185588151217],[342.71185303],[-2123.30670579],[167.11283863],25.231755256652832
990,0.00099,[-2449.103657528758],[326.33764648],[-2122.76601104],[159.12846309],25.564236164093018
1000,0.001,[-2458.290006607771],[336.33230591],[-2121.9577007],[164.00204973],25.839463472366333
